Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€1.964 hourly,€0.2167 hourly,€4.4759 hourly,€2.7286 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.2455 hourly,€0.0271 hourly,€0.5595 hourly,€0.3411 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€2.455 hourly,€0.2709 hourly,€5.5948 hourly,€3.4107 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€2.946 hourly,€0.3251 hourly,€6.7138 hourly,€4.0928 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€4.6603 hourly,€0.728 hourly,€9.6839 hourly,€5.7516 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€0.6024 hourly,€0.099 hourly,€1.2304 hourly,€0.727 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.0753 hourly,€0.0124 hourly,€0.1538 hourly,€0.0909 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€1.2049 hourly,€0.198 hourly,€2.4608 hourly,€1.4539 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.1506 hourly,€0.0247 hourly,€0.3076 hourly,€0.1817 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€1.8073 hourly,€0.297 hourly,€3.6912 hourly,€2.1809 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€2.4097 hourly,€0.396 hourly,€4.9215 hourly,€2.9078 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.3012 hourly,€0.0495 hourly,€0.6152 hourly,€0.3635 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€3.0121 hourly,€0.495 hourly,€6.1519 hourly,€3.6348 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€3.6146 hourly,€0.594 hourly,€7.3823 hourly,€4.3617 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€4.3101 hourly,€0.5871 hourly,€9.3337 hourly,€5.6108 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.5388 hourly,€0.0734 hourly,€1.1667 hourly,€0.7013 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0673 hourly,€0.0092 hourly,€0.1458 hourly,€0.0877 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€1.0775 hourly,€0.1468 hourly,€2.3334 hourly,€1.4027 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.1347 hourly,€0.0183 hourly,€0.2917 hourly,€0.1753 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€1.6163 hourly,€0.2202 hourly,€3.5001 hourly,€2.104 hourly
