Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€14.5691 hourly,€2.9581 hourly,€17.7089 hourly,€6.0979 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.7136 hourly,€0.0978 hourly,€1.3415 hourly,€0.7258 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0892 hourly,€0.0122 hourly,€0.1677 hourly,€0.0907 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€1.4272 hourly,€0.1957 hourly,€2.6831 hourly,€1.4516 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.1784 hourly,€0.0245 hourly,€0.3354 hourly,€0.1814 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€2.1407 hourly,€0.2935 hourly,€4.0246 hourly,€2.1774 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€2.8543 hourly,€0.3914 hourly,€5.3662 hourly,€2.9032 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.3568 hourly,€0.0489 hourly,€0.6708 hourly,€0.3629 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€3.5679 hourly,€0.4892 hourly,€6.7077 hourly,€3.629 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€4.2815 hourly,€0.587 hourly,€8.0492 hourly,€4.3548 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€6.7729 hourly,€1.3146 hourly,€11.7966 hourly,€6.3382 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€0.8755 hourly,€0.1788 hourly,€1.5035 hourly,€0.8067 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.1094 hourly,€0.0223 hourly,€0.1879 hourly,€0.1008 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€1.7511 hourly,€0.3576 hourly,€3.007 hourly,€1.6135 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.2189 hourly,€0.0447 hourly,€0.3759 hourly,€0.2017 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€2.6266 hourly,€0.5363 hourly,€4.5105 hourly,€2.4202 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€3.5021 hourly,€0.7151 hourly,€6.014 hourly,€3.2269 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.4378 hourly,€0.0894 hourly,€0.7517 hourly,€0.4034 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€4.3777 hourly,€0.8939 hourly,€7.5175 hourly,€4.0337 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€5.2532 hourly,€1.0727 hourly,€9.0209 hourly,€4.8404 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€6.2639 hourly,€1.0602 hourly,€11.2876 hourly,€6.0839 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.783 hourly,€0.1325 hourly,€1.4109 hourly,€0.7605 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0979 hourly,€0.0166 hourly,€0.1764 hourly,€0.0951 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€1.566 hourly,€0.2651 hourly,€2.8219 hourly,€1.521 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.1957 hourly,€0.0331 hourly,€0.3527 hourly,€0.1901 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€2.349 hourly,€0.3976 hourly,€4.2328 hourly,€2.2814 hourly
N2 Standard 64,n2-standard-64,256 GiB,64,€3.132 hourly,€0.5301 hourly,€5.6438 hourly,€3.0419 hourly
N2 Standard 8,n2-standard-8,32 GiB,8,€0.3915 hourly,€0.0663 hourly,€0.7055 hourly,€0.3802 hourly
N2 Standard 80,n2-standard-80,320 GiB,80,€3.915 hourly,€0.6626 hourly,€7.0547 hourly,€3.8024 hourly
N2 Standard 96,n2-standard-96,384 GiB,96,€4.6979 hourly,€0.7952 hourly,€8.4657 hourly,€4.5629 hourly
N2D High CPU 128,n2d-highcpu-128,128 GiB,128,€5.4497 hourly,€0.7096 hourly,€10.4733 hourly,€5.7333 hourly
N2D High CPU 16,n2d-highcpu-16,16 GiB,16,€0.6812 hourly,€0.0887 hourly,€1.3092 hourly,€0.7167 hourly
N2D High CPU 2,n2d-highcpu-2,2 GiB,2,€0.0852 hourly,€0.0111 hourly,€0.1636 hourly,€0.0896 hourly
N2D High CPU 224,n2d-highcpu-224,224 GiB,224,€9.5369 hourly,€1.2419 hourly,€18.3283 hourly,€10.0333 hourly
N2D High CPU 32,n2d-highcpu-32,32 GiB,32,€1.3624 hourly,€0.1774 hourly,€2.6183 hourly,€1.4333 hourly
N2D High CPU 4,n2d-highcpu-4,4 GiB,4,€0.1703 hourly,€0.0222 hourly,€0.3273 hourly,€0.1792 hourly
N2D High CPU 48,n2d-highcpu-48,48 GiB,48,€2.0436 hourly,€0.2661 hourly,€3.9275 hourly,€2.15 hourly
N2D High CPU 64,n2d-highcpu-64,64 GiB,64,€2.7248 hourly,€0.3548 hourly,€5.2367 hourly,€2.8666 hourly
N2D High CPU 8,n2d-highcpu-8,8 GiB,8,€0.3406 hourly,€0.0444 hourly,€0.6546 hourly,€0.3583 hourly
N2D High CPU 80,n2d-highcpu-80,80 GiB,80,€3.406 hourly,€0.4435 hourly,€6.5458 hourly,€3.5833 hourly
N2D High CPU 96,n2d-highcpu-96,96 GiB,96,€4.0872 hourly,€0.5322 hourly,€7.855 hourly,€4.30 hourly
N2D High Memory 16,n2d-highmem-16,128 GiB,16,€1.2448 hourly,€0.1621 hourly,€1.8727 hourly,€0.7901 hourly
N2D High Memory 2,n2d-highmem-2,16 GiB,2,€0.1556 hourly,€0.0203 hourly,€0.2341 hourly,€0.0988 hourly
N2D High Memory 32,n2d-highmem-32,256 GiB,32,€2.4895 hourly,€0.3242 hourly,€3.7455 hourly,€1.5801 hourly
N2D High Memory 4,n2d-highmem-4,32 GiB,4,€0.3112 hourly,€0.0405 hourly,€0.4682 hourly,€0.1975 hourly
N2D High Memory 48,n2d-highmem-48,384 GiB,48,€3.7343 hourly,€0.4863 hourly,€5.6182 hourly,€2.3702 hourly
N2D High Memory 64,n2d-highmem-64,512 GiB,64,€4.9791 hourly,€0.6484 hourly,€7.4909 hourly,€3.1602 hourly
