model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,m5n.12xlarge,rack,2019,2,280,EPYC 7R32,24,Intel,Cascade Lake,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,2
AWS,m5n.16xlarge,rack,2019,2,280,EPYC 7R32,24,Intel,Cascade Lake,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,"1,5"
AWS,m5n.24xlarge,rack,2019,2,280,EPYC 7R32,24,Intel,Cascade Lake,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,1
AWS,m5n.metal,rack,2021,2,145,Xeon E5-2686 v4,24,Intel,Cascade Lake,2021,14,,12,32,Samsung,20,,0,EBS,0,,2,,1
AWS,m5zn.large,rack,2020,2,145,Xeon E5-2686 v4,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,24
AWS,m5zn.xlarge,rack,2020,2,145,Xeon E5-2686 v4,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,12
AWS,m5zn.2xlarge,rack,2020,2,145,Xeon E5-2686 v4,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,6
AWS,m5zn.3xlarge,rack,2020,2,115,Xeon E5-2670,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,4
AWS,m5zn.6xlarge,rack,2020,2,115,Xeon E5-2670 v2,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,2
AWS,m5zn.12xlarge,rack,2020,2,115,Xeon E5-2670 v2,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,1
AWS,m5zn.metal,rack,2020,2,115,Xeon E5-2670 v2,12,Intel,Cascade Lake,2020,14,,12,16,,,,0,EBS,0,,2,,1
AWS,m6g.medium,rack,2019,1,115,Xeon E5-2670 v2,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,64
AWS,m6g.large,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,32
