,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
284,i4i.xlarge,4,32.0,937,0,0,i4i.metal,,0.0032,15.060920000000001,0.00148,0.0037,0.0056,30.744446249999996,0.00301,0.0076,0.0114,37.545733750000004,0.0037,0.0092,0.0139
285,i4i.2xlarge,8,64.0,1875,0,0,i4i.metal,,0.006,30.121840000000002,0.00295,0.0074,0.0111,61.48889249999999,0.006,0.0151,0.0228,75.09146750000001,0.0074,0.0185,0.0278
286,i4i.4xlarge,16,128.0,3750,0,0,i4i.metal,,0.013,60.243680000000005,0.0059,0.0148,0.0223,122.97778499999998,0.0121,0.0303,0.046,150.18293500000001,0.0147,0.037,0.056
287,i4i.8xlarge,32,256.0,7500,0,0,i4i.metal,,0.026,120.48736000000001,0.0118,0.0296,0.045,245.95556999999997,0.0241,0.061,0.091,300.36587000000003,0.0294,0.074,0.111
288,i4i.16xlarge,64,512.0,15000,0,0,i4i.metal,,0.052,240.97472000000002,0.0236,0.059,0.089,491.91113999999993,0.048,0.121,0.182,600.7317400000001,0.059,0.148,0.222
289,i4i.32xlarge,128,1024.0,30000,0,0,i4i.metal,,0.1,481.94944000000004,0.047,0.119,0.178,983.8222799999999,0.096,0.242,0.36,1201.4634800000001,0.118,0.296,0.44
290,i4i.metal,128,1024.0,30000,0,0,i4i.metal,,0.1,481.94944000000004,0.047,0.119,0.178,983.8222799999999,0.096,0.242,0.36,1201.4634800000001,0.118,0.296,0.44
291,im4gn.large,2,8.0,937,0,0,im4gn.16xlarge,,0.0019,3.7652300000000003,0.00037,0.00093,0.00139,7.686319375,0.00075,0.00189,0.00284,9.386225625,0.00092,0.00231,0.0035
292,im4gn.xlarge,4,16.0,1875,0,0,im4gn.16xlarge,,0.0038,7.530460000000001,0.00074,0.00185,0.00279,15.37263875,0.00151,0.0038,0.0057,18.77245125,0.00184,0.0046,0.0069
293,im4gn.2xlarge,8,32.0,3750,0,0,im4gn.16xlarge,,0.008,15.060920000000001,0.00148,0.0037,0.0056,30.7452775,0.00301,0.0076,0.0114,37.5449025,0.0037,0.0092,0.0139
294,im4gn.4xlarge,16,64.0,7500,0,0,im4gn.16xlarge,,0.015,30.121840000000002,0.00295,0.0074,0.0111,61.490555,0.006,0.0151,0.0228,75.089805,0.0074,0.0185,0.0278
295,im4gn.8xlarge,32,128.0,15000,0,0,im4gn.16xlarge,,0.03,60.243680000000005,0.0059,0.0148,0.0223,122.98111,0.0121,0.0303,0.046,150.17961,0.0147,0.037,0.056
296,im4gn.16xlarge,64,256.0,30000,0,0,im4gn.16xlarge,,0.06,120.48736000000001,0.0118,0.0296,0.045,245.96222,0.0241,0.061,0.091,300.35922,0.0294,0.074,0.111
297,inf1.xlarge,4,8.0,0,0,1,inf1.24xlarge,,0.00094,6.193920833333332,0.00061,0.00152,0.00229,22.922993333333334,0.00225,0.0056,0.0085,30.177034999999997,0.00296,0.0074,0.0112
