"Name","API Name","Instance Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Dedicate Host On Demand","Dedicated Host Reserved","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost","Generation"
"T2 Medium","t2.medium","4.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","18","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0464 hourly","$0.0287 hourly","$0.0247 hourly","$0.0317 hourly","$0.1414 hourly","$0.1207 hourly","$0.0847 hourly","$0.0917 hourly","$0.1464 hourly","$0.0617 hourly","$0.1247 hourly","$0.1317 hourly","$0.0644 hourly","$0.0467 hourly","$0.0428 hourly","$0.0491 hourly","unavailable","unavailable","$0.1358 hourly","$0.1181 hourly","unavailable","unavailable","unavailable","unavailable","$0.1140 hourly","$0.0963 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","current"
"R6G Medium","r6g.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0504 hourly","$0.0318 hourly","$0.0273 hourly","$0.0328 hourly","$0.1454 hourly","$0.1238 hourly","$0.0873 hourly","$0.0928 hourly","$0.0814 hourly","$0.0448 hourly","$0.0583 hourly","$0.0638 hourly","unavailable","unavailable","unavailable","unavailable","$3.5480 hourly","$2.2350 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"A1 Large","a1.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","525.0 Mbps","65.62 MB/s","4000.0 IOPS","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","30","3","No","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az6","$0.0510 hourly","$0.0321 hourly","$0.0404 hourly","$0.0504 hourly","$0.1110 hourly","$0.0921 hourly","$0.1004 hourly","$0.1104 hourly","$0.1073 hourly","$0.0571 hourly","$0.0967 hourly","$0.1067 hourly","unavailable","unavailable","unavailable","unavailable","$0.4490 hourly","$0.2830 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","previous"
"C7A Medium","c7a.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 9R14 Processor","3.7 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","325.0 Mbps","40.62 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.0513 hourly","$0.0340 hourly","$0.0052 hourly","$0.0062 hourly","$0.1113 hourly","$0.0940 hourly","$0.0652 hourly","$0.0662 hourly","$0.1076 hourly","$0.0590 hourly","$0.0615 hourly","$0.0625 hourly","$0.0973 hourly","$0.0799 hourly","$0.0512 hourly","$0.0512 hourly","$10.8390 hourly","$7.1700 hourly","$0.1649 hourly","$0.1475 hourly","$0.5773 hourly","$0.5599 hourly","unavailable","unavailable","$0.1189 hourly","$0.1016 hourly","$0.5313 hourly","$0.5140 hourly","unavailable","unavailable","0","unavailable","current"
"M7GD Medium","m7gd.medium","4.0 GiB","0 units","1 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","No","64-bit","Up to 12.5 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.0534 hourly","$0.0336 hourly","$0.0309 hourly","$0.0319 hourly","$0.1484 hourly","$0.1256 hourly","$0.0909 hourly","$0.0919 hourly","$0.1097 hourly","$0.0586 hourly","$0.0872 hourly","$0.0882 hourly","unavailable","unavailable","unavailable","unavailable","$11.2760 hourly","$7.1040 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"R7G Medium","r7g.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0536 hourly","$0.0354 hourly","$0.0270 hourly","$0.0330 hourly","$0.1486 hourly","$0.1274 hourly","$0.0870 hourly","$0.0930 hourly","$0.1099 hourly","$0.0604 hourly","$0.0833 hourly","$0.0893 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"R6GD Medium","r6gd.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0576 hourly","$0.0363 hourly","$0.0251 hourly","$0.0274 hourly","$0.1176 hourly","$0.0963 hourly","$0.0851 hourly","$0.0874 hourly","$0.0886 hourly","$0.0493 hourly","$0.0561 hourly","$0.0584 hourly","unavailable","unavailable","unavailable","unavailable","$4.0550 hourly","$2.5550 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M7A Medium","m7a.medium","4.0 GiB","0 units","1 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 9R14 Processor","3.7 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","325.0 Mbps","40.62 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.0580 hourly","$0.0383 hourly","$0.0264 hourly","$0.0318 hourly","$0.1530 hourly","$0.1303 hourly","$0.0864 hourly","$0.0918 hourly","$0.1143 hourly","$0.0633 hourly","$0.0827 hourly","$0.0881 hourly","$0.1040 hourly","$0.0843 hourly","$0.0697 hourly","$0.0780 hourly","$12.2410 hourly","$8.0980 hourly","$0.1716 hourly","$0.1519 hourly","$0.5840 hourly","$0.5643 hourly","unavailable","unavailable","$0.1256 hourly","$0.1059 hourly","$0.5380 hourly","$0.5183 hourly","unavailable","unavailable","0","unavailable","current"
"C7GN Medium","c7gn.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.6 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","521.0 Mbps","65.12 MB/s","2083.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az4, use1-az5, use1-az6","$0.0624 hourly","$0.0393 hourly","$0.0256 hourly","$0.0330 hourly","$0.1224 hourly","$0.0993 hourly","$0.0856 hourly","$0.0930 hourly","$0.1187 hourly","$0.0643 hourly","$0.0819 hourly","$0.0893 hourly","unavailable","unavailable","unavailable","unavailable","$13.1790 hourly","$8.3030 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","3.75 GiB/vCPU","0","None","0 GiB","0","0","3 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","4 GB                 SSD","Yes","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","HVM, PV","No","use1-az2, use1-az3, use1-az4, use1-az6","$0.0670 hourly","$0.0480 hourly","$0.0241 hourly","$0.0314 hourly","$0.1270 hourly","$0.1080 hourly","$0.0841 hourly","$0.0914 hourly","$0.1670 hourly","$0.0810 hourly","$0.1241 hourly","$0.1314 hourly","$0.1300 hourly","$0.1000 hourly","$0.0889 hourly","$0.0944 hourly","$2.3410 hourly","$1.7120 hourly","$0.1840 hourly","$0.1270 hourly","$0.3530 hourly","$0.2210 hourly","unavailable","unavailable","$0.1350 hourly","$0.1110 hourly","$0.5470 hourly","$0.5230 hourly","unavailable","unavailable","unavailable","unavailable","previous"
"T4G Large","t4g.large","8.0 GiB","0 units","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","695.0 Mbps","86.88 MB/s","4000.0 IOPS","2780.0 Mbps","347.5 MB/s","15700.0 IOPS","Yes","36","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0672 hourly","$0.0421 hourly","$0.0641 hourly","$0.0653 hourly","$0.1622 hourly","$0.1341 hourly","$0.1241 hourly","$0.1253 hourly","$0.1235 hourly","$0.0671 hourly","$0.1204 hourly","$0.1216 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"R7GD Medium","r7gd.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","No","64-bit","Up to 12.5 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.0680 hourly","$0.0428 hourly","$0.0261 hourly","$0.0289 hourly","$0.1630 hourly","$0.1348 hourly","$0.0861 hourly","$0.0889 hourly","$0.1243 hourly","$0.0678 hourly","$0.0824 hourly","$0.0852 hourly","unavailable","unavailable","unavailable","unavailable","$14.3700 hourly","$9.0310 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C6G Large","c6g.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","630.0 Mbps","78.75 MB/s","3600.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0680 hourly","$0.0428 hourly","$0.0503 hourly","$0.0654 hourly","$0.1280 hourly","$0.1028 hourly","$0.1103 hourly","$0.1254 hourly","$0.1243 hourly","$0.0678 hourly","$0.1066 hourly","$0.1217 hourly","unavailable","unavailable","unavailable","unavailable","$2.3940 hourly","$1.5080 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C7G Large","c7g.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","630.0 Mbps","78.75 MB/s","3600.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","30","3","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0725 hourly","$0.0478 hourly","$0.0506 hourly","$0.0654 hourly","$0.1325 hourly","$0.1078 hourly","$0.1106 hourly","$0.1254 hourly","$0.1288 hourly","$0.0728 hourly","$0.1069 hourly","$0.1217 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Large","t3a.large","8.0 GiB","Base performance:                   60%","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","695.0 Mbps","86.88 MB/s","4000.0 IOPS","2780.0 Mbps","347.5 MB/s","15700.0 IOPS","Yes","36","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0752 hourly","$0.0471 hourly","$0.0499 hourly","$0.0638 hourly","$0.1352 hourly","$0.1071 hourly","$0.1099 hourly","$0.1238 hourly","$0.1315 hourly","$0.0721 hourly","$0.1062 hourly","$0.1201 hourly","$0.1028 hourly","$0.0747 hourly","$0.0894 hourly","$0.0908 hourly","unavailable","unavailable","$0.1704 hourly","$0.1423 hourly","unavailable","unavailable","unavailable","unavailable","$0.1428 hourly","$0.1147 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"R7A Medium","r7a.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 9R14 Processor","3.7 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","325.0 Mbps","40.62 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.0761 hourly","$0.0503 hourly","$0.0254 hourly","$0.0316 hourly","$0.1361 hourly","$0.1103 hourly","$0.0854 hourly","$0.0916 hourly","$0.1324 hourly","$0.0753 hourly","$0.0817 hourly","$0.0879 hourly","$0.1221 hourly","$0.0963 hourly","$0.0719 hourly","$0.0774 hourly","$16.0670 hourly","$10.6280 hourly","$0.1897 hourly","$0.1639 hourly","$0.6021 hourly","$0.5763 hourly","unavailable","unavailable","$0.1437 hourly","$0.1179 hourly","$0.5561 hourly","$0.5303 hourly","unavailable","unavailable","0","unavailable","current"
"C6A Large","c6a.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","650.0 Mbps","81.25 MB/s","3600.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","30","3","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0765 hourly","$0.0506 hourly","$0.0461 hourly","$0.0628 hourly","$0.1365 hourly","$0.1106 hourly","$0.1061 hourly","$0.1228 hourly","$0.1328 hourly","$0.0756 hourly","$0.1024 hourly","$0.1191 hourly","$0.1685 hourly","$0.1426 hourly","$0.1395 hourly","$0.1548 hourly","$8.0780 hourly","$5.3440 hourly","$0.2361 hourly","$0.2102 hourly","$0.6485 hourly","$0.6226 hourly","unavailable","unavailable","$0.1441 hourly","$0.1182 hourly","$0.5565 hourly","$0.5306 hourly","unavailable","unavailable","0","unavailable","current"
"C6GD Large","c6gd.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","118 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","630.0 Mbps","78.75 MB/s","3600.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0768 hourly","$0.0484 hourly","$0.0516 hourly","$0.0647 hourly","$0.1718 hourly","$0.1404 hourly","$0.1116 hourly","$0.1247 hourly","$0.1331 hourly","$0.0734 hourly","$0.1079 hourly","$0.1210 hourly","unavailable","unavailable","unavailable","unavailable","$2.7030 hourly","$1.7030 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M6G Large","m6g.large","8.0 GiB","0 units","2 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","630.0 Mbps","78.75 MB/s","3600.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0770 hourly","$0.0483 hourly","$0.0467 hourly","$0.0653 hourly","$0.1720 hourly","$0.1403 hourly","$0.1067 hourly","$0.1253 hourly","$0.1333 hourly","$0.0733 hourly","$0.1030 hourly","$0.1216 hourly","unavailable","unavailable","unavailable","unavailable","$2.7100 hourly","$1.7000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
