Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
E32s v3,E32s v3,256 GiB,32,512 GiB,€2.1941 hourly,€1.6675 hourly,€1.2905 hourly,€0.4474 hourly,€3.4557 hourly,€2.9291 hourly,€2.5521 hourly,€0.7046 hourly
E32s v4,E32s v4,256 GiB,32,0 GiB,€2.0844 hourly,€1.4095 hourly,€1.2298 hourly,€0.4179 hourly,€3.346 hourly,€2.671 hourly,€2.4914 hourly,€0.6709 hourly
E32s v5,E32s v5,256 GiB,32,0 GiB,€2.0844 hourly,€1.4095 hourly,€1.209 hourly,€0.4179 hourly,€3.346 hourly,€2.671 hourly,€2.4706 hourly,€0.6709 hourly
E32s v6,E32s v6,256 GiB,32,0 GiB,€2.1889 hourly,€1.4885 hourly,€1.3569 hourly,€0.4045 hourly,€3.4505 hourly,€2.7501 hourly,€2.6185 hourly,€0.6377 hourly
E32 v3,E32 v3,256 GiB,32,800 GiB,€2.1941 hourly,€1.6675 hourly,€1.2905 hourly,€0.4474 hourly,€3.4557 hourly,€2.9291 hourly,€2.5521 hourly,€0.7046 hourly
E32 v4,E32 v4,256 GiB,32,0 GiB,€2.0844 hourly,€1.4095 hourly,€1.2298 hourly,€0.4179 hourly,€3.346 hourly,€2.671 hourly,€2.4914 hourly,€0.6709 hourly
E32 v5,E32 v5,256 GiB,32,0 GiB,€2.0844 hourly,€1.4095 hourly,€1.209 hourly,€0.4179 hourly,€3.346 hourly,€2.671 hourly,€2.4706 hourly,€0.6709 hourly
E4-2s v6,E4-2s v6,32 GiB,4,0 GiB,€0.2605 hourly,€0.1762 hourly,€0.1537 hourly,€0.0522 hourly,€0.4285 hourly,€0.3425 hourly,€0.3175 hourly,€0.0873 hourly
E48ads v5,E48ads v5,384 GiB,48,1800 GiB,€3.25 hourly,€2.2181 hourly,€1.9175 hourly,€0.662 hourly,€5.1424 hourly,€4.1105 hourly,€3.8099 hourly,€1.0475 hourly
E48ads v6,E48ads v6,384 GiB,48,1700 GiB,€3.6082 hourly,€2.4536 hourly,€2.1287 hourly,€0.6668 hourly,€5.5006 hourly,€4.346 hourly,€4.021 hourly,€1.0165 hourly
