Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5DN Quadruple Extra Large,r5dn.4xlarge,r5dn,N/A,N/A,128 GiB,0 units,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 25 Gigabit,240,€1.3644 hourly,€0.8596 hourly,€0.5872 hourly,€1.9952 hourly,€1.4904 hourly
R5DN Eight Extra Large,r5dn.8xlarge,r5dn,N/A,N/A,256 GiB,0 units,32 vCPUs,1200 GB (2×600 GB NVMe SSD),25 Gigabit,240,€2.7289 hourly,€1.7193 hourly,€1.0409 hourly,€3.9905 hourly,€2.9809 hourly
R5N 12xlarge Extra Large,r5n.12xlarge,r5n,"23.259,42",159.0 fps,384 GiB,0 units,48 vCPUs,EBS only,50 Gigabit,240,€3.6614 hourly,€2.3063 hourly,€1.752 hourly,€5.5537 hourly,€4.1987 hourly
R5N Quadruple Extra Large,r5n.4xlarge,r5n,"19.676,002",78.0 fps,128 GiB,0 units,16 vCPUs,EBS only,Up to 25 Gigabit,240,€1.2205 hourly,€0.7688 hourly,€0.577 hourly,€1.8512 hourly,€1.3996 hourly
R5N Eight Extra Large,r5n.8xlarge,r5n,"21.827,707",135.0 fps,256 GiB,0 units,32 vCPUs,EBS only,25 Gigabit,240,€2.4409 hourly,€1.5376 hourly,€0.9424 hourly,€3.7025 hourly,€2.7992 hourly
R6A 12xlarge Extra Large,r6a.12xlarge,r6a,"30.847,536",207.0 fps,384 GiB,0 units,48 vCPUs,EBS only,18.75 Gigabit,240,€2.8139 hourly,€1.8614 hourly,€1.1399 hourly,€4.7063 hourly,€3.7538 hourly
R6A Quadruple Extra Large,r6a.4xlarge,r6a,"29.835,161",120.0 fps,128 GiB,0 units,16 vCPUs,EBS only,Up to 12.5 Gigabit,240,€0.938 hourly,€0.6205 hourly,€0.4046 hourly,€1.5688 hourly,€1.2513 hourly
R6A Eight Extra Large,r6a.8xlarge,r6a,"29.682,398",196.0 fps,256 GiB,0 units,32 vCPUs,EBS only,12.5 Gigabit,240,€1.8759 hourly,€1.2409 hourly,€0.6528 hourly,€3.1375 hourly,€2.5025 hourly
R6G 12xlarge Extra Large,r6g.12xlarge,r6g,"20.469,432",172.0 fps,384 GiB,0 units,48 vCPUs,EBS only,20 Gigabit,240,€2.5012 hourly,€1.5758 hourly,€0.4364 hourly,unavailable,unavailable
R6G Quadruple Extra Large,r6g.4xlarge,r6g,"20.083,01",93.0 fps,128 GiB,0 units,16 vCPUs,EBS only,Up to 10 Gigabit,240,€0.8337 hourly,€0.5253 hourly,€0.2584 hourly,unavailable,unavailable
